Index,Account Id,Lead Owner,First Name,Last Name,Company,Phone 1,Phone 2,Email 1,Email 2,Website,Source,Deal Stage,Notes
14,QxG8SQvlvm,Stacey Love,Victoria,Mora,"Watts, Barajas and Conway",225.267.5824x9170,001-400-261-0701x104,marcdiaz@potter.info,rcarey@sparks.com,https://taylor.com/,Website Form,Closed Lost,Ability question age at need find treat manager.
15,Tu8Hq215Lc,Jillian Delgado,Micheal,Walton,Gamble-Kaiser,(430)334-0620,+1-792-920-0190x021,davidsonbeverly@walton.biz,schneidermisty@burke.biz,https://www.stokes-perez.com/,Social Media,Proposal Sent,Owner draw also job increase.
16,knyAepRXQs,Joy Sanders,Kari,Parrish,Walker PLC,+1-580-978-5749x7585,(518)693-8292,knightkatherine@benjamin.com,margaretmeadows@sherman.org,http://www.carter.info/,LinkedIn Outreach,Re-engagement,Phone building discussion central.
17,WB2COBugk9,Rhonda Strickland,Russell,Guzman,Arellano-Mcneil,(748)614-0726,242-401-7765,mcdanielcraig+fbecker@hamilton-morris.com,jamesdoris@booker.com,https://www.moses-acosta.com/,LinkedIn Outreach,Qualified,Put order half among.
18,UftHm2WU0R,Steven Osborn,Evan,Campos,Crosby-Page,+1-915-622-9808x8634,001-243-600-1633,garrisonpatty@price.com,ellenbenjamin@huynh.biz,https://www.acevedo-leblanc.com/,Cold Call,New Lead,Set character reveal environmental health.
19,oJkXGu4hau,Jenny Wiley,Leonard,K.,"Hinton, Hodge and Ryan",001-368-798-5585x4935,001-592-456-8351x1251,pachecolee@davies-stein.biz,alex71+ralph38@boyd-miles.net,https://goodwin-carey.com/,Website Form,Closed Lost,Choose official throw easy billion quickly.
20,4VIpgVhrAA,Stephanie Sosa,Tracey,Barajas,Robertson Inc,(283)713-6647x5557,001-217-700-1940x71154,robertbeasley@snow-valencia.biz,xavierleon@estes.com,https://www.mullins.com/,Networking Event,Closed Won,Series continue environmental next there.
21,UftHm2WU0R,Steven Osborn,Evan,C.,Crosby-Page,+1-915-622-9808x8634,001-243-600-1633,ellenbenjamin@huynh.biz,garrisonpatty@price.com,https://www.acevedo-leblanc.com/,Cold Call,New Lead,Set character reveal environmental health.
22,QxG8SQvlvm,Stacey Love,Victoria,Mora,"Watts, Barajas and Conway",001-400-261-0701x104,225.267.5824x9170,marcdiaz@potter.info,rcarey@sparks.com,https://taylor.com/,Website Form,Closed Lost,Include evidence her customer shoulder explain consider turn.
23,epQfIvOAgd,Regina Moreno,Tamara,Russell,Day and Sons,+1-344-652-7565x225,888.818.9205x007,elainebradshaw@preston.com,lawrencemorgan@tapia.com,http://clay.com/,Podcast,Qualified,Anything marriage local use myself whether model.
24,ZltxwLqyFD,Kristin Giles,Gail,Byrd,Golden-Stout,485-632-6257,(896)677-9685,odunlap@vazquez.biz,vazquezshannon@burnett-osborne.org,http://www.holt.com/,Podcast,Closed Won,Break edge manage fact.
25,w3hLrHbiDL,Francis Richardson,Ethan,Buchanan,Carter-Velez,001-338-565-4871x86533,247.537.2188,iburnett@winters-kirby.net,joanharrison@edwards.net,http://www.vaughan.com/,LinkedIn Outreach,Qualified,Daughter trade water care.
26,qmR41IkbWI,Jacqueline Ramirez,Kristi,Ibarra,Nash-Pratt,+1-228-891-0941x6683,268-907-4323,ejacobson@york.com,christinatucker@stanley-malone.biz,https://www.spence-dickerson.com/,Chatbot,Proposal Sent,Successful final explain.
27,AqGZ8PMKeC,Carla Meyer,Wendy,Warren,Delacruz-Ware,695-909-1658,789-611-3028x8231,ashlee10@marks-haas.com,tamaraestrada@cortez.com,https://www.villa-knight.com/,Purchased List,Contacted,Write Democrat half take left.
28,C0byOGqQ2U,Brenda Crane,Audrey,Gill,Kirk LLC,+1-308-860-2380,001-285-829-0788x9324,dshea@barnett-harmon.com,preston28@herring-camacho.org,http://burton-moore.net/,Podcast,Closed Won,Local together establish state hard.
29,Mbn40kPQJu,Olivia Walters,Damon,U.,Cline-Macdonald,(756)234-2660x2335,7063137068,connerkirsten@barnett.info,perezbrandon+brianabriggs@camacho-medina.com,http://www.chambers.com/,Google Ads,New Lead,Really someone public ok.
30,EEVPlZbt9h,Jackie Prince,Ethan,L.,Oconnell-Lawson,711-677-2361,2332424061,fmejia+aliciagaines@mclaughlin.com,jocelynmayo@boyle-vance.com,https://fletcher.biz/,Networking Event,Qualified,Concern magazine wonder responsibility be.
31,qmR41IkbWI,Jacqueline Ramirez,Kristi,Ibarra,Nash-Pratt,268-907-4323,+1-228-891-0941x6683,ejacobson+xbarajas@york.com,christinatucker@stanley-malone.biz,http://www.spence-dickerson.com/,Chatbot,Proposal Sent,Son natural form option good per inside.
32,qmR41IkbWI,Jacqueline Ramirez,Kristi,Ibarra,Nash-Pratt,268-907-4323,+1-228-891-0941x6683,ejacobson@york.com,christinatucker@stanley-malone.biz,https://www.spence-dickerson.com/,Chatbot,Proposal Sent,Each stay hope chance herself up.
33,sTNH51x8dW,Kristie Prince,Jasmine,Jacobson,"Lynch, Weeks and Greer",+1-459-461-6338x9747,804.701.2198x9585,hsaunders@rollins.org,kempmeagan@whitney.com,http://wilkins.com/,Trade Show,On Hold,Safe break long commercial until challenge watch.
34,0VjG2KGqCa,Kathryn Frey,Kathryn,Mcguire,Frye LLC,(247)468-8763x332,7967924886,chelsey18@wilson.biz,lambfranklin@espinoza-cochran.com,http://www.lawson.com/,Networking Event,Re-engagement,Other letter indeed even.
35,rUhuR3wwrb,Greg Orr,Joel,Whitehead,Norman Inc,643.477.8684x1551,638-391-7688,gracerivas@gonzalez-daniels.com,jpope@welch.org,https://www.simpson-braun.biz/,Purchased List,Closed Lost,Thank exist turn dark reflect move.
36,4VIpgVhrAA,Stephanie Sosa,Tracey,Barajas,Robertson Inc,001-217-700-1940x71154,(283)713-6647x5557,robertbeasley@snow-valencia.biz,xavierleon+guy96@estes.com,http://www.mullins.com/,Networking Event,Closed Won,Win book or ever nice.
37,C0byOGqQ2U,Brenda Crane,Audrey,Gill,Kirk LLC,001-285-829-0788x9324,+1-308-860-2380,dshea+edwardssabrina@barnett-harmon.com,preston28@herring-camacho.org,http://burton-moore.net/,Podcast,Closed Won,Center leader under care picture theory.
38,c4MRDp04cc,John Ingram,Shawna,S.,Benjamin Ltd,+1-871-382-9638x57713,940.319.9837x26179,randy54+norma10@miller.info,chelsey09@peck-young.org,http://joyce-hutchinson.com/,Trade Show,On Hold,Heart road up.
39,qmR41IkbWI,Jacqueline Ramirez,Kristi,I.,Nash-Pratt,+1-228-891-0941x6683,268-907-4323,christinatucker@stanley-malone.biz,ejacobson+vincenthamilton@york.com,https://www.spence-dickerson.com/,Chatbot,Proposal Sent,Successful final explain.
40,El14xogR3F,Bobby Ponce,Summer,Merritt,"Gay, Glenn and Salazar",(423)553-0375,966.773.7330x5367,lcosta@pacheco.biz,mendozatim@pena-roy.com,https://www.krueger-randolph.biz/,Trade Show,Disqualified,Republican able fire off theory senior total.
41,0VjG2KGqCa,Kathryn Frey,Kathryn,M.,Frye LLC,(247)468-8763x332,7967924886,lambfranklin@espinoza-cochran.com,chelsey18@wilson.biz,http://www.lawson.com/,Networking Event,Re-engagement,Other letter indeed even.
42,C0byOGqQ2U,Brenda Crane,Audrey,G.,Kirk LLC,+1-308-860-2380,001-285-829-0788x9324,preston28+tpoole@herring-camacho.org,dshea@barnett-harmon.com,http://burton-moore.net/,Podcast,Closed Won,Local together establish state hard.
43,Tu8Hq215Lc,Jillian Delgado,Micheal,W.,Gamble-Kaiser,(430)334-0620,+1-792-920-0190x021,schneidermisty+umontes@burke.biz,davidsonbeverly@walton.biz,https://www.stokes-perez.com/,Social Media,Proposal Sent,Owner draw also job increase.
44,kxJAorGriS,Meredith Simon,Monica,Merritt,"Rivas, Ryan and Byrd",(995)515-2813x116,(990)246-3733,maydillon@baird.com,colejasmine@terry.com,http://www.dickerson.net/,LinkedIn Outreach,Disqualified,Avoid benefit box tonight message no.
45,9p3FNpDnXY,Natalie Franklin,Katherine,Vang,"Melendez, Orr and Montgomery",+1-730-962-4177,+1-709-700-5486,sedwards@schmitt-duffy.org,grobinson@bradshaw.com,http://santiago-frank.com/,Retargeting Ads,Negotiation,Available half reflect still quickly.
46,KZ5rojTq9j,Jeffery Melton,Kaitlyn,Simmons,Orozco and Sons,+1-962-482-8525x72836,+1-922-417-3663x642,mstark@cobb.com,bberger@wood.info,http://stevenson-walton.net/,Chatbot,Disqualified,Goal wrong stage case reveal.
47,JiMHR2D7g4,Cristina Rojas,Howard,Deleon,Drake Group,618-977-8588x3544,349.927.3581,buckmorgan@espinoza-randolph.com,ahouston@horton.com,https://herrera.org/,Cold Call,Negotiation,Guess time those instead full else her.
48,cUrZE6dm7D,Anne Roman,Stacey,Combs,Price LLC,(905)370-5951x5111,3524523547,briley@bonilla-floyd.com,munozcesar@cervantes.net,http://good-wiley.net/,Retargeting Ads,New Lead,Back quite before carry knowledge lead.
49,C1qqJl4aOB,Lonnie Estes,Dillon,Dawson,"Horne, Cooper and Oconnor",6345536404,263.742.5783x09218,ruben77@sawyer.com,morganjames@lloyd.com,http://scott.com/,Content Marketing,Proposal Sent,Black woman capital development small particularly.
50,8iVpwuSbGt,Edgar Hancock,Jessica,Forbes,"Johns, Moreno and Holden",+1-614-444-9619x6772,+1-279-820-6248,stefanie98@cross-erickson.biz,vjensen@bartlett.net,http://brock.net/,Google Ads,New Lead,Generation field summer home cup wind television.
51,oJkXGu4hau,Jenny Wiley,Leonard,K.,"Hinton, Hodge and Ryan",001-368-798-5585x4935,001-592-456-8351x1251,pachecolee+albert48@davies-stein.biz,alex71@boyd-miles.net,https://goodwin-carey.com/,Website Form,Closed Lost,Choose official throw easy billion quickly.
52,ddAnp8uaZN,Blake Hicks,Jonathan,Ibarra,"Conley, Nicholson and Rodriguez",(785)997-1869,201.598.3970x604,ramseyjody@jenkins-burch.net,mirandafrederick@payne-barton.com,http://garza.biz/,Cold Call,Qualified,Financial occur woman former hear little.
53,kxJAorGriS,Meredith Simon,Monica,M.,"Rivas, Ryan and Byrd",(995)515-2813x116,(990)246-3733,colejasmine@terry.com,maydillon+daughertyraven@baird.com,http://www.dickerson.net/,LinkedIn Outreach,Disqualified,Avoid benefit box tonight message no.
54,qmR41IkbWI,Jacqueline Ramirez,Kristi,I.,Nash-Pratt,268-907-4323,+1-228-891-0941x6683,christinatucker+cory29@stanley-malone.biz,ejacobson@york.com,https://www.spence-dickerson.com/,Chatbot,Proposal Sent,Successful final explain.
55,rxqRBqCVua,Phyllis Weber,Adam,Bryan,Cardenas and Sons,685.546.4026x071,001-272-589-2927,yfernandez@david-baird.com,kmelton@collier.com,https://www.rowland-molina.org/,Chatbot,New Lead,Month happen any recently most ready purpose.
56,QxG8SQvlvm,Stacey Love,Victoria,M.,"Watts, Barajas and Conway",001-400-261-0701x104,225.267.5824x9170,rcarey@sparks.com,marcdiaz+selenaclayton@potter.info,https://taylor.com/,Website Form,Closed Lost,Ability question age at need find treat manager.
57,lyBJrtcrPj,Derrick Charles,Frederick,Miller,"Watson, Nixon and Aguirre",001-766-278-2756x6974,926.838.2155x6142,pottsjermaine+zromero@hess.org,meghanhunt@potts-eaton.com,http://fletcher-bolton.com/,Organic Search (SEO),Disqualified,Structure response ready agent.
58,9U7A8lkfoH,Brianna Garrison,Louis,Murillo,Valenzuela-Mcpherson,798-280-8639x98118,632.506.3766x5424,calderonluis@potter.com,pottsnancy@marshall.com,http://www.morrow.info/,Purchased List,On Hold,Treatment care network himself challenge.
59,IWoYQyYlD6,Alexandria Rosales,Allen,Landry,Terrell Group,001-845-919-2654x451,001-711-303-1525,grantjoseph@bradley.com,beasleytammie@cook-rhodes.com,http://www.gibbs.com/,Website Form,Re-engagement,Realize loss game side hour factor above.
60,0VjG2KGqCa,Kathryn Frey,Kathryn,M.,Frye LLC,7967924886,(247)468-8763x332,lambfranklin@espinoza-cochran.com,chelsey18@wilson.biz,http://www.lawson.com/,Networking Event,Re-engagement,Other letter indeed even.
61,WaDBejGNa1,Kylie York,Shaun,Pratt,Wu-Ball,350.780.7582,001-643-564-0481x9824,marilyn57@hatfield.info,kbrady@whitaker.com,https://wolfe.org/,Social Media,Disqualified,Evidence perform thought.
62,9p3FNpDnXY,Natalie Franklin,Katherine,Vang,"Melendez, Orr and Montgomery",+1-709-700-5486,+1-730-962-4177,sedwards@schmitt-duffy.org,grobinson@bradshaw.com,http://santiago-frank.com/,Retargeting Ads,Negotiation,Rate every will statement management rather.
63,w3hLrHbiDL,Francis Richardson,Ethan,Buchanan,Carter-Velez,247.537.2188,001-338-565-4871x86533,iburnett@winters-kirby.net,joanharrison@edwards.net,http://www.vaughan.com/,LinkedIn Outreach,Qualified,Western paper attention dream method stage image.
64,2jCjyiYH3L,Jeremy Baldwin,Jo,Chase,Dudley-Wong,001-947-397-3430x572,889.438.1593x18302,slawrence@welch.com,ahenson@hampton.biz,https://www.guzman.com/,Google Ads,Proposal Sent,Industry beat professor area production choice.
65,KfvHj8dMGL,Gordon Petty,Jill,Mcpherson,Meza-Chen,(308)519-9898x622,001-728-674-0605x685,novakchristina@moyer-benton.com,montoyamelinda@santos-copeland.com,https://jacobson-abbott.info/,Networking Event,On Hold,General catch skill box indeed.
66,EEVPlZbt9h,Jackie Prince,Ethan,L.,Oconnell-Lawson,711-677-2361,2332424061,fmejia@mclaughlin.com,jocelynmayo@boyle-vance.com,https://fletcher.biz/,Networking Event,Qualified,Concern magazine wonder responsibility be.
67,B3hQ3EJsTM,Jeffery Wheeler,Catherine,Horn,Coleman-Gates,001-294-662-1620x148,+1-659-222-8598x7722,santhony@rose.com,wyattsherri@dyer-waters.org,http://www.johns.com/,Social Media,On Hold,Statement face even research firm TV claim prepare.
68,MhPvpG5gED,Melanie Decker,James,Bentley,"Lawson, Fox and Delgado",423.743.2055x8775,456-311-5768x0325,sberg@leon.biz,bondgary@davenport.com,http://www.barber.com/,Partner Program,Qualified,Capital front society product.
69,AqGZ8PMKeC,Carla Meyer,Wendy,Warren,Delacruz-Ware,789-611-3028x8231,695-909-1658,ashlee10@marks-haas.com,tamaraestrada@cortez.com,http://www.villa-knight.com/,Purchased List,Contacted,Enough go television big who chance painting.
70,xcDde4xCUO,Sean Stevens,Helen,Richmond,Lozano-Byrd,7532638531,799-834-8394x36573,alvaradofrancisco@small-stephenson.com,kblankenship@owens.net,http://www.waters.org/,Social Media,Qualified,Positive statement similar special family term more.
71,AAxbUW6d6h,Jack Durham,Meredith,Camacho,French PLC,705.366.8011,243-852-3880x40144,robertcisneros@russo-le.net,webermariah@jenkins.info,http://crane.info/,Podcast,Negotiation,Visit go owner material argue manager majority.
72,qgTm2Pwy49,Fernando Becker,Abigail,Logan,"Collins, Castro and Ballard",(306)274-8285x96424,493.751.4575,mauriceorr@jefferson.com,sheena06@bryan.com,http://www.young.org/,Purchased List,Contacted,Would program call wall culture act husband.
73,cUrZE6dm7D,Anne Roman,Stacey,Combs,Price LLC,3524523547,(905)370-5951x5111,briley@bonilla-floyd.com,munozcesar+hrowe@cervantes.net,http://good-wiley.net/,Retargeting Ads,New Lead,Phone set bring husband minute reason a.
74,WB2COBugk9,Rhonda Strickland,Russell,G.,Arellano-Mcneil,(748)614-0726,242-401-7765,jamesdoris+zbeltran@booker.com,mcdanielcraig@hamilton-morris.com,http://www.moses-acosta.com/,LinkedIn Outreach,Qualified,Ball station subject plan activity.
75,gEthkI9gce,Norman Massey,Diane,Ford,Day and Sons,(516)570-1256x35531,(924)975-0941,joyce52@sims.com,jonesterry@robinson-pham.com,https://moses.org/,Webinars,Qualified,Visit first dream capital generation talk.
76,F5leupZ5jc,Laura Brooks,Dave,Taylor,Dickson Group,+1-211-685-5754x9258,001-557-815-4720,veronicaochoa@harper-haas.org,pdennis@edwards.com,http://www.shea.com/,Cold Email,Closed Lost,Political eight election bag mean perform.
77,8oclF9L56d,Anne Mcguire,Sarah,Patrick,"Reeves, Harvey and Noble",(405)925-6602x391,001-641-720-8780x02058,fernandezandrew@gaines.com,hayley00@perez.net,http://www.valdez.info/,Direct Traffic,Negotiation,Son bad once body state but black.
78,AAxbUW6d6h,Jack Durham,Meredith,C.,French PLC,705.366.8011,243-852-3880x40144,webermariah@jenkins.info,robertcisneros+jimbriggs@russo-le.net,http://crane.info/,Podcast,Negotiation,Buy message agreement structure.
79,IWoYQyYlD6,Alexandria Rosales,Allen,L.,Terrell Group,001-845-919-2654x451,001-711-303-1525,beasleytammie+imccarthy@cook-rhodes.com,grantjoseph@bradley.com,http://www.gibbs.com/,Website Form,Re-engagement,Realize loss game side hour factor above.
80,9p3FNpDnXY,Natalie Franklin,Katherine,Vang,"Melendez, Orr and Montgomery",+1-709-700-5486,+1-730-962-4177,sedwards+malloryrandolph@schmitt-duffy.org,grobinson@bradshaw.com,http://santiago-frank.com/,Retargeting Ads,Negotiation,Which for some against anything.
81,rdi49Zu3VV,Russell Barnett,Roger,Reilly,Wolfe LLC,291.725.3805x59932,930-200-1807,blang@mcneil-boone.net,wgutierrez@ramirez.info,http://www.galvan.net/,Trade Show,New Lead,Thing official number suddenly here result choice.
82,UiUH6fYxwN,Jennifer Barrett,Kristin,Wade,Barnett-Carrillo,+1-519-535-2892,809.776.7892,candace34@wang.com,jaclyn87@marsh.com,http://meadows-lowery.com/,Content Marketing,On Hold,Remember kid left big.
83,WaDBejGNa1,Kylie York,Shaun,P.,Wu-Ball,001-643-564-0481x9824,350.780.7582,kbrady@whitaker.com,marilyn57@hatfield.info,https://wolfe.org/,Social Media,Disqualified,Evidence perform thought.
84,ddAnp8uaZN,Blake Hicks,Jonathan,Ibarra,"Conley, Nicholson and Rodriguez",201.598.3970x604,(785)997-1869,ramseyjody@jenkins-burch.net,mirandafrederick+bridgeschad@payne-barton.com,http://garza.biz/,Cold Call,Qualified,Ready project increase role sing ten live.
85,CZGc5JZ7XP,Nathaniel Tanner,Blake,Sexton,Barrera-Howard,725-278-7316,001-739-685-0061,eric84@scott.info,brendachase@andrews-page.com,https://www.munoz-hodges.com/,Chatbot,Re-engagement,Under piece piece Republican onto.
86,cIY2hn1Q62,Chloe Lynch,Preston,Booth,Edwards PLC,+1-880-969-5258x96940,(559)512-6170x7028,odomdawn@rivers.info,nduncan@bean.net,https://www.cox-ferguson.com/,Content Marketing,Qualified,Begin account evening street view recently phone position.
87,Sv0zPvGTSi,Lacey Gilbert,Brandi,Waters,Spence and Sons,720.675.5599x131,(756)579-5092x498,fnolan@hobbs.org,craig76@hodges-ramos.com,http://mcintyre.com/,Webinars,Negotiation,Interest central tonight social fall.
88,goyd5kAs5j,Sheri Petersen,Darrell,Newton,Boyer-King,001-304-259-4419,(952)326-6652x775,joyce91@palmer-haley.com,hatfieldxavier@gates.com,https://reilly-greer.com/,Referral,Disqualified,Manage best me indicate business girl wish.
89,8iVpwuSbGt,Edgar Hancock,Jessica,Forbes,"Johns, Moreno and Holden",+1-279-820-6248,+1-614-444-9619x6772,stefanie98+joshuaunderwood@cross-erickson.biz,vjensen@bartlett.net,https://brock.net/,Google Ads,New Lead,Something paper every star.
90,gAke0lnr14,Veronica Castaneda,Mikayla,Berry,Barry Inc,495.296.9909,413.682.2702x8584,tammymurray@snow.net,gvelazquez@richardson.info,https://www.daniel-gilbert.com/,Webinars,Qualified,Rock move call continue piece.
91,tMsoxstNrv,Glen Hawkins,Willie,Gross,Suarez PLC,731.633.5009x610,572-851-9202,wallpaul@faulkner.org,wadetristan@mclaughlin.com,http://www.barber.com/,Other,On Hold,Maybe role later lead might character receive.
92,7R3OYSGu2j,Kelli Barton,Theodore,Marquez,"Jimenez, Jordan and Dawson",001-272-603-9095x143,376-294-2701x4274,harrisonearl@small-bates.info,mrowland@richmond-cooper.com,https://rodgers.com/,Chatbot,Disqualified,Rise especially public suffer.
93,XIkrjoSlwN,Alejandro Nixon,Roberta,Duffy,Murphy-Lowe,(232)259-1576,305.694.7010,joybuckley@schultz.com,sharon52@olson.com,http://henson-williamson.com/,Cold Call,Negotiation,Himself hospital international body.
94,2jCjyiYH3L,Jeremy Baldwin,Jo,Chase,Dudley-Wong,889.438.1593x18302,001-947-397-3430x572,slawrence+jpadilla@welch.com,ahenson@hampton.biz,http://www.guzman.com/,Google Ads,Proposal Sent,Church green few cultural return light happy.
95,wrE1Nu9TMK,Kenneth Mcdowell,Jay,Rivers,Oconnor Inc,001-467-263-1218x06690,9877750227,villanuevaruth@burke-horton.biz,annette27@harris.biz,https://www.decker.com/,Referral,Contacted,Why set radio able majority evidence develop my.
96,5ztNstJd2x,Franklin Walton,Paige,Hansen,"Murray, Callahan and Mathews",+1-761-833-9360x00153,643-695-7592x03496,boothjackson@estrada-pearson.info,gterrell@christensen-flores.org,https://bentley-wyatt.info/,Social Media,Closed Won,Too garden word kind small.
97,ddAnp8uaZN,Blake Hicks,Jonathan,Ibarra,"Conley, Nicholson and Rodriguez",201.598.3970x604,(785)997-1869,ramseyjody@jenkins-burch.net,mirandafrederick@payne-barton.com,http://garza.biz/,Cold Call,Qualified,Everything leave end start save.
98,CZGc5JZ7XP,Nathaniel Tanner,Blake,Sexton,Barrera-Howard,001-739-685-0061,725-278-7316,eric84@scott.info,brendachase@andrews-page.com,http://www.munoz-hodges.com/,Chatbot,Re-engagement,Even seem happen single to professor give.
99,WB2COBugk9,Rhonda Strickland,Russell,Guzman,Arellano-Mcneil,(748)614-0726,242-401-7765,mcdanielcraig+vhouse@hamilton-morris.com,jamesdoris@booker.com,http://www.moses-acosta.com/,LinkedIn Outreach,Qualified,Summer science note year drug fact enjoy.
100,7qODBVJs2O,Jasmin Richmond,Kylie,Robbins,Cochran-Stephenson,(335)220-7782x5402,001-719-268-0873,dpetersen@stuart.biz,norma50@boyer-stone.com,https://dudley.com/,Organic Search (SEO),Proposal Sent,Economic sit help pressure mean ago.
101,GdeaK44kps,Adrienne Barker,Bradley,Novak,"Owens, Lowe and Fisher",238.478.9303x9256,+1-465-836-2979x2826,ccarlson@hardy-carrillo.org,kshepherd@short.com,https://conley-navarro.com/,Podcast,Closed Lost,Dog traditional report network.
102,5QDtDIJo8v,Rose Castaneda,Alfred,Wilson,Pennington-Johnston,588.716.9211x788,001-518-290-3842x50674,patty94@richard.biz,bblankenship@prince.biz,http://ware.net/,Retargeting Ads,Negotiation,Officer another manage.
103,lyBJrtcrPj,Derrick Charles,Frederick,M.,"Watson, Nixon and Aguirre",001-766-278-2756x6974,926.838.2155x6142,meghanhunt@potts-eaton.com,pottsjermaine@hess.org,http://fletcher-bolton.com/,Organic Search (SEO),Disqualified,Gun forward certainly character past enough look.
104,ZltxwLqyFD,Kristin Giles,Gail,Byrd,Golden-Stout,485-632-6257,(896)677-9685,odunlap@vazquez.biz,vazquezshannon@burnett-osborne.org,http://www.holt.com/,Podcast,Closed Won,Light rate safe.
105,dI4YqZnJXw,Lydia Hensley,Tanya,Gross,"Barton, Waters and Ali",(704)229-0896x564,220.725.3856,geraldallen@rich.org,shawnmaynard@booth-huffman.biz,http://www.collins-levine.net/,Chatbot,Negotiation,Modern value fish forward power public.
106,Sv0zPvGTSi,Lacey Gilbert,Brandi,Waters,Spence and Sons,(756)579-5092x498,720.675.5599x131,fnolan@hobbs.org,craig76@hodges-ramos.com,https://mcintyre.com/,Webinars,Negotiation,For both billion she explain.
107,m59O0A78W3,Gloria Acosta,Joseph,Terrell,Tanner Inc,532-379-7976x40357,+1-527-413-8217x678,haley03@snow.org,gmoss@carter.com,https://www.jennings.info/,Networking Event,Disqualified,Everyone example realize management drop drive.
108,kxJAorGriS,Meredith Simon,Monica,Merritt,"Rivas, Ryan and Byrd",(990)246-3733,(995)515-2813x116,maydillon@baird.com,colejasmine@terry.com,https://www.dickerson.net/,LinkedIn Outreach,Disqualified,Air article research agreement light share phone.
109,l34BIMKusR,Yesenia Logan,Mikayla,Raymond,Jimenez Ltd,2904084688,214.506.7516x690,ymurray@whitney.com,steinlisa@burgess.info,https://watkins.com/,Website Form,Contacted,Item from service magazine nature usually.
110,El14xogR3F,Bobby Ponce,Summer,M.,"Gay, Glenn and Salazar",966.773.7330x5367,(423)553-0375,mendozatim@pena-roy.com,lcosta@pacheco.biz,https://www.krueger-randolph.biz/,Trade Show,Disqualified,Republican able fire off theory senior total.
111,dI4YqZnJXw,Lydia Hensley,Tanya,Gross,"Barton, Waters and Ali",220.725.3856,(704)229-0896x564,geraldallen@rich.org,shawnmaynard+dodsonjake@booth-huffman.biz,https://www.collins-levine.net/,Chatbot,Negotiation,Kitchen common stage wear that.
